target_id	SRR26331018	SRR26331020	SRR26331021	SRR26331017	SRR26331016
at5g16970.1	4432.35	2613.77	4990.96	1490.66	1225.92
at4g32100.1	0.0	0.0	0.0	0.0	0.0
at2g43120.2	2236.86	3132.81	3006.54	703.529	733.595
at2g43120.1	3905.14	6556.19	6766.46	2199.47	2538.41
at1g30814.1	0.0	1.5	0.0	0.0	0.0
at1g30814.4	0.0	0.0	0.0	0.0	0.0
at1g30814.2	0.0	0.0	0.0	2.0	2.0
at1g30814.3	0.0	1.5	0.0	0.0	0.0
at3g18710.1	208.0	161.0	186.0	82.0	109.0
at4g25880.4	63.8913	151.683	42.2122	19.3613	139.863
at4g25880.2	0.0	0.0	23.0162	0.0	0.0
at4g25880.5	392.054	432.658	335.576	280.819	263.068
at4g25880.1	392.054	432.658	335.576	280.819	263.068
at4g25880.3	0.0	0.0	2.61939	0.0	0.0
at1g78930.1	33.0	64.0	29.0	47.0	61.0
at3g07950.1	150.0	225.0	201.0	296.0	281.0
at4g03450.2	0.0	0.0	0.0	1.0	0.0
at4g03450.1	0.0	0.0	0.0	0.0	0.0
at1g71695.1	155.0	147.0	155.0	63.0	164.0
at1g58983.1	475.058	592.337	468.266	915.62	811.652
at1g12980.1	0.0	0.0	1.0	0.0	1.0
at5g41480.1	63.0	66.0	62.0	72.0	63.0
at5g15008.1	0.0	0.0	0.0	0.0	0.0
at3g51870.1	123.0	154.0	132.0	212.0	312.0
at4g29950.3	25.0389	280.982	539.308	25.6379	58.8208
at4g29950.1	915.92	1186.33	1173.82	695.706	676.52
at4g29950.2	2174.04	1478.69	2074.87	1451.66	1526.66
at3g18310.1	112.0	76.0	107.0	147.0	147.0
at5g07360.3	164.792	268.0	125.001	139.0	133.0
at5g07360.1	164.792	268.0	125.001	139.0	133.0
at5g07360.2	37.4166	0.0	40.9975	0.0	0.0
at4g08535.1	0.0	0.0	0.0	0.0	0.0
at4g08535.3	0.0	0.0	0.0	0.0	0.0
at4g08535.2	0.0	3.0	1.0	1.0	2.0
at4g26490.1	140.0	141.0	136.0	833.0	682.0
at5g46240.1	4.0	2.0	0.0	30.0	55.0
at5g62260.3	125.5	106.0	137.0	92.5	55.0
at5g62260.1	125.5	106.0	137.0	92.5	55.0
at5g62260.2	0.0	0.0	0.0	0.0	0.0
at4g16955.1	0.0	0.0	0.0	0.0	0.0
at3g25717.1	25.0	18.0	7.0	8.0	5.0
at1g45223.1	0.0	0.0	0.0	0.0	0.0
at5g35715.1	0.0	0.0	0.0	0.0	0.0
at5g41908.1	0.0	1.0	0.0	0.0	0.0
at2g21390.1	1246.0	1452.0	1151.0	2140.81	2090.0
at3g48330.2	55.6105	9.40999e-05	29.1015	7.45732	36.4545
at3g48330.3	3.20898	87.7597	111.156	34.1989	64.3111
at3g48330.4	98.5699	131.24	24.6415	110.886	106.78
at3g48330.1	55.6105	9.40999e-05	29.1015	7.45732	36.4545
at4g32710.1	44.0	63.0	42.0	26.0	20.0
at3g46440.1	189.0	242.0	150.0	227.0	284.5
at3g46440.2	189.0	242.0	150.0	227.0	284.5
at2g21930.1	0.0	8.40252	8.8805	10.761	19.0
at2g21930.2	15.0	15.5975	3.1195	6.23899	0.0
at3g53910.1	0.0	0.0	0.0	0.0	0.0
at4g25090.1	24.0	22.0	14.0	4.96321e-07	0.0
at4g25090.2	0.0	0.0	0.0	5.0	0.0
at2g18870.1	0.0	0.0	1.0	0.0	1.0
at1g56250.1	6757.74	5572.42	5672.19	1659.71	1255.0
at3g16830.1	810.0	926.0	797.0	943.0	965.0
at5g20470.1	18.0562	7.0	7.04103	0.0	0.0
